Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
149,Malik Monk,27,SAC,SG,27,0,22.5,4.4,10.1,.431,1.9,4.6,.407,2.5,5.6,.450,.522,1.6,1.9,.824,0.4,1.7,2.0,2.3,0.9,0.4,1.2,1.6,12.1,0.0,monkma01
150,Dylan Harper,19,SAS,SG,21,0,21.7,4.7,10.1,.460,0.6,2.5,.250,4.0,7.7,.528,.491,2.0,2.7,.732,0.9,2.4,3.3,4.2,1.0,0.0,1.6,2.2,11.9,0.0,harpedy01
151,Kevin Huerter,27,CHI,SF,26,8,23.9,4.5,9.6,.472,1.7,5.2,.316,2.9,4.4,.658,.558,1.2,1.5,.750,0.5,2.8,3.4,2.3,0.8,0.6,1.2,2.1,11.9,0.0,huertke01
152,Jonathan Kuminga,23,GSW,PF,18,13,24.8,4.3,10.1,.431,0.9,2.8,.320,3.4,7.3,.473,.475,2.2,3.0,.741,1.6,4.6,6.2,2.6,0.3,0.3,2.4,1.7,11.8,0.0,kuminjo01
153,Duncan Robinson,31,DET,SF,30,30,29.9,3.9,9.1,.423,2.9,7.4,.387,1.0,1.7,.577,.580,1.2,1.6,.787,0.3,2.6,2.9,1.9,0.8,0.3,0.6,2.4,11.8,0.0,robindu01
154,Cameron Johnson,29,DEN,SF,28,28,30.6,4.0,8.8,.461,1.9,4.5,.429,2.1,4.3,.496,.571,1.7,2.1,.810,0.7,2.9,3.6,2.4,0.6,0.3,1.0,2.3,11.7,0.0,johnsca02
155,Ausar Thompson,23,DET,SF,28,27,26.5,4.7,9.2,.512,0.2,0.6,.294,4.5,8.6,.527,.521,2.1,3.8,.557,2.2,3.8,6.0,2.6,1.5,0.7,1.6,2.7,11.7,0.0,thompau01
156,Tre Johnson,19,WAS,SG,23,5,23.2,4.2,9.6,.441,1.9,5.0,.379,2.3,4.5,.510,.541,1.3,1.4,.879,0.5,2.4,3.0,1.6,0.5,0.4,1.4,1.7,11.6,0.0,johnstr03
157,Miles McBride,25,NYK,SG,20,9,27.0,4.0,9.1,.436,2.8,6.2,.444,1.2,2.9,.421,.588,1.0,1.2,.792,0.7,1.9,2.6,2.5,0.7,0.3,0.8,1.8,11.6,0.0,mcbrimi01
158,Dyson Daniels,22,ATL,SG,32,32,34.1,5.0,10.3,.488,0.2,1.7,.130,4.8,8.6,.558,.498,1.2,1.9,.613,2.2,4.3,6.5,5.7,2.0,0.3,2.3,2.2,11.5,0.0,daniedy01
159,Christian Braun,24,DEN,SG,11,11,29.5,4.4,8.8,.495,0.5,2.5,.214,3.8,6.3,.609,.526,2.1,2.6,.793,1.6,2.7,4.4,3.0,0.8,0.3,1.3,2.2,11.4,0.0,braunch01
160,Max Christie,22,DAL,SG,31,22,28.4,3.8,8.1,.468,2.3,5.0,.455,1.5,3.1,.490,.609,1.5,1.7,.833,0.2,3.2,3.4,2.0,0.5,0.4,1.1,1.6,11.4,0.0,chrisma02
161,Tari Eason,24,HOU,PF,15,3,22.4,4.3,8.7,.500,2.3,4.6,.493,2.1,4.1,.508,.631,0.5,0.9,.538,1.5,3.4,4.9,1.5,1.1,0.6,1.5,1.9,11.4,0.0,easonta01
162,Rudy Gobert,33,MIN,C,32,32,31.8,4.6,6.4,.714,0.0,0.0,0.0,4.6,6.4,.714,.714,2.1,4.0,.520,4.0,7.0,11.0,1.8,0.6,1.6,1.4,2.9,11.3,0.0,goberru01
163,Isaiah Hartenstein,27,OKC,C,24,24,26.9,4.8,7.5,.644,0.0,0.2,.000,4.8,7.3,.659,.644,1.5,2.4,.649,3.4,7.0,10.4,3.0,1.1,0.8,2.1,2.9,11.2,0.0,harteis01
164,Isaiah Joe,26,OKC,SG,23,0,21.2,3.4,7.5,.459,2.6,6.0,.424,0.9,1.4,.606,.631,1.7,1.9,.930,0.6,2.2,2.8,1.5,0.6,0.2,0.8,1.6,11.2,0.0,joeis01
165,Aaron Wiggins,27,OKC,SG,19,5,22.8,4.3,9.2,.466,2.1,5.0,.411,2.2,4.2,.532,.578,0.6,0.9,.706,0.7,2.2,2.8,1.7,0.5,0.5,1.1,1.7,11.2,0.0,wiggiaa01
166,Moses Moody,23,GSW,SG,30,19,25.3,3.7,8.9,.414,2.2,5.9,.379,1.4,3.0,.483,.539,1.6,1.9,.839,0.9,2.4,3.4,1.6,1.0,0.7,1.1,2.2,11.1,0.0,moodymo01
167,Klay Thompson,35,DAL,SF,30,8,22.1,3.9,10.6,.370,2.7,7.7,.357,1.2,3.0,.404,.498,0.5,0.7,.714,0.3,2.3,2.6,1.3,0.4,0.3,0.9,1.0,11.1,0.0,thompkl01
168,Brandon Williams,26,DAL,PG,29,9,21.9,3.8,9.2,.412,0.5,2.8,.185,3.3,6.4,.511,.440,3.0,3.7,.804,0.5,2.0,2.5,3.9,1.2,0.2,1.9,1.6,11.1,0.0,willibr03
169,Jock Landale,30,MEM,C,30,14,22.3,4.3,8.3,.516,1.1,2.8,.410,3.1,5.5,.570,.585,1.4,2.1,.651,2.7,3.3,5.9,1.6,0.5,0.5,1.1,2.6,11.0,0.0,landajo01
170,Donovan Clingan,21,POR,C,28,28,26.5,4.1,7.8,.528,0.8,2.6,.319,3.3,5.2,.630,.580,1.6,2.5,.657,4.5,6.1,10.6,1.8,0.6,1.5,0.9,2.6,10.7,0.0,clingdo01
171,A.J. Green,26,MIL,SG,29,29,28.7,3.4,7.5,.456,3.1,6.8,.455,0.3,0.7,.474,.664,0.7,0.9,.808,0.2,2.5,2.7,2.0,0.7,0.1,0.9,2.7,10.7,0.0,greenaj01
172,Zaccharie Risacher,20,ATL,SF,30,30,24.2,4.2,9.2,.455,1.4,4.2,.333,2.8,5.0,.556,.531,0.9,1.3,.675,0.9,2.0,2.9,1.5,1.0,0.6,0.9,2.1,10.7,0.0,risacza01
173,Peyton Watson,23,DEN,SF,29,19,27.0,3.9,7.6,.516,1.1,2.8,.400,2.8,4.9,.582,.588,1.8,2.3,.750,1.1,3.6,4.6,1.5,1.0,1.0,1.3,2.2,10.7,0.0,watsope01
174,Vit Krejci,25,ATL,PG,29,1,23.6,3.6,7.1,.507,2.7,5.7,.470,0.9,1.4,.659,.696,0.6,0.8,.750,0.4,1.9,2.3,1.5,0.7,0.3,0.8,2.3,10.6,0.0,krejcvi01
175,Sandro Mamukelashvili,26,TOR,C,32,6,21.1,4.0,7.6,.529,1.4,3.3,.411,2.6,4.2,.622,.620,1.3,1.6,.769,1.6,3.3,4.8,1.7,0.7,0.5,0.9,1.8,10.6,0.0,mamuksa01
176,Maxime Raynaud,22,SAC,C,24,10,21.7,4.4,8.2,.541,0.3,0.8,.350,4.1,7.3,.563,.559,1.5,2.0,.745,1.8,4.2,6.0,1.1,0.5,0.5,1.1,2.5,10.6,0.0,raynama01
177,Ace Bailey,19,UTA,SF,30,21,23.8,4.1,9.4,.438,1.5,4.2,.357,2.6,5.2,.503,.518,0.7,1.0,.667,1.4,1.8,3.3,1.5,0.7,0.4,1.2,2.5,10.4,0.0,baileac01
178,Khris Middleton,34,WAS,SF,20,20,25.0,3.9,8.5,.462,0.8,2.5,.327,3.1,6.0,.517,.509,1.7,2.1,.805,1.0,3.1,4.1,3.3,0.8,0.4,1.6,2.7,10.3,0.0,middlkh01
179,Royce O'Neale,32,PHO,SF,31,26,29.4,3.6,8.4,.429,2.9,6.8,.420,0.7,1.5,.468,.600,0.3,0.4,.667,0.7,4.3,5.0,2.8,1.3,0.2,1.5,2.4,10.3,0.0,onealro01
180,Marvin Bagley III,26,WAS,PF,25,7,19.6,4.2,6.6,.633,0.2,0.5,.500,4.0,6.2,.643,.651,1.6,2.3,.684,2.6,3.0,5.6,1.6,0.4,0.7,1.0,2.3,10.2,0.0,baglema01
181,Jordan Clarkson,33,NYK,SG,31,0,20.6,3.8,8.6,.440,1.4,4.2,.338,2.4,4.4,.537,.523,1.2,1.5,.771,0.8,1.1,1.9,1.5,0.5,0.2,1.2,2.1,10.2,0.0,clarkjo01
182,D'Angelo Russell,29,DAL,PG,25,3,19.0,3.6,8.9,.405,1.3,4.4,.300,2.3,4.5,.509,.480,1.7,2.4,.717,0.3,2.0,2.4,4.0,0.5,0.1,1.9,1.2,10.2,0.0,russeda01
183,T.J. McConnell,33,IND,PG,20,0,16.8,4.7,8.3,.566,0.4,1.1,.333,4.4,7.3,.600,.587,0.3,0.3,1.000,0.3,2.3,2.6,4.6,1.1,0.2,1.1,1.1,10.0,0.0,mccontj01
184,Neemias Queta,26,BOS,C,29,29,24.6,4.3,6.6,.654,0.0,0.1,.000,4.3,6.5,.665,.654,1.3,2.2,.600,3.1,4.8,7.9,1.6,0.7,1.3,0.9,3.0,10.0,0.0,quetane01
185,Bilal Coulibaly,21,WAS,SG,16,16,26.6,3.4,8.8,.386,0.9,3.8,.246,2.4,4.9,.494,.439,2.2,2.9,.761,0.9,3.7,4.6,2.6,1.4,1.0,1.8,2.6,9.9,0.0,coulibi01
186,Tristan Da Silva,24,ORL,SF,28,10,23.4,3.7,8.3,.446,1.6,4.3,.372,2.1,4.0,.527,.543,0.9,1.1,.800,0.8,3.1,3.9,1.1,0.8,0.3,0.9,1.3,9.9,0.0,dasiltr01
187,Derrick Jones Jr.,28,LAC,SF,14,13,24.5,3.6,6.9,.521,1.1,3.4,.340,2.4,3.5,.694,.604,1.6,2.1,.793,0.9,1.6,2.4,1.0,0.8,1.1,0.8,2.1,9.9,0.0,jonesde02
188,Isaiah Stewart,24,DET,C,29,7,22.9,3.8,7.3,.512,0.9,2.4,.366,2.9,4.9,.585,.573,1.5,2.1,.733,2.0,3.9,5.9,1.1,0.2,2.0,1.2,3.1,9.9,0.0,stewais01
189,Julian Champagnie,24,SAS,SF,31,18,27.4,3.2,7.9,.402,2.1,6.0,.346,1.1,2.0,.574,.533,1.4,1.6,.843,0.9,4.6,5.5,1.4,0.9,0.5,1.0,1.4,9.8,0.0,champju02
190,Herbert Jones,27,NOP,SF,22,22,28.0,3.6,8.8,.407,1.4,4.1,.344,2.2,4.7,.462,.487,1.2,1.5,.813,1.0,2.6,3.7,2.4,1.7,0.3,1.3,3.3,9.8,0.0,joneshe01
191,Marcus Smart,31,LAL,SG,21,14,27.3,3.2,8.0,.402,1.6,5.3,.304,1.6,2.7,.596,.503,1.7,1.9,.923,0.7,2.0,2.6,2.8,1.4,0.3,1.7,2.9,9.8,0.0,smartma01
192,Zach Collins,28,CHI,C,10,0,18.4,3.7,6.4,.578,0.9,2.1,.429,2.8,4.3,.651,.648,1.4,2.0,.700,1.6,4.0,5.6,1.5,0.2,0.4,1.0,1.8,9.7,0.0,colliza01
193,Jakob Poeltl,30,TOR,C,21,21,25.3,4.2,6.0,.693,0.0,0.0,0.0,4.2,6.0,.693,.693,1.3,2.2,.596,2.7,5.0,7.7,2.1,0.8,0.5,1.6,3.1,9.7,0.0,poeltja01
194,Kyle Filipowski,22,UTA,C,30,11,22.7,3.5,7.4,.475,0.9,2.7,.325,2.6,4.7,.560,.534,1.8,2.5,.716,1.7,4.7,6.4,2.3,0.5,0.5,1.2,2.7,9.6,0.0,filipky01
195,Gary Trent Jr.,27,MIL,SG,30,17,26.8,3.3,8.4,.391,2.2,5.8,.371,1.1,2.6,.436,.520,0.8,1.0,.806,0.1,1.2,1.4,1.6,0.8,0.1,0.7,1.5,9.6,0.0,trentga02
196,Pelle Larsson,24,MIA,SG,26,18,22.4,3.3,6.9,.472,1.1,3.0,.367,2.2,3.9,.554,.553,1.8,2.3,.783,0.6,2.1,2.7,3.4,0.5,0.2,1.0,1.9,9.5,0.0,larsspe01
197,Egor Dёmin,19,BRK,PG,27,20,23.9,3.3,8.4,.390,2.0,5.8,.353,1.3,2.7,.472,.511,0.7,0.8,.864,0.4,2.7,3.1,3.4,0.9,0.3,1.9,1.8,9.3,0.0,demineg01
198,Davion Mitchell,27,MIA,PG,30,30,29.9,3.8,7.8,.483,1.0,2.7,.366,2.8,5.1,.546,.547,0.8,1.2,.639,0.4,2.1,2.5,7.4,1.3,0.1,1.5,2.9,9.3,0.0,mitchda01
199,Jusuf Nurkić,31,UTA,C,28,23,25.1,3.7,7.7,.484,0.5,1.5,.302,3.3,6.1,.529,.514,1.4,2.8,.513,2.5,7.0,9.6,4.2,1.3,0.4,2.5,3.3,9.3,0.0,nurkiju01
200,Brice Sensabaugh,22,UTA,SF,30,2,17.7,3.2,7.5,.422,1.6,4.6,.343,1.6,2.9,.545,.527,1.4,1.6,.878,0.7,1.9,2.6,1.4,0.6,0.2,0.9,1.8,9.3,0.0,sensabr01
201,Landry Shamet,28,NYK,SG,15,6,20.9,2.8,6.2,.452,1.9,4.4,.424,0.9,1.8,.519,.602,1.8,2.3,.794,0.5,1.5,2.0,1.2,0.4,0.2,0.5,1.3,9.3,0.0,shamela01
202,Cam Whitmore,21,WAS,SF,21,0,16.9,3.7,8.0,.456,0.8,2.7,.286,2.9,5.4,.540,.503,1.1,1.5,.742,0.9,1.9,2.8,0.7,0.7,0.4,0.9,1.2,9.2,0.0,whitmca01
203,Bub Carrington,20,WAS,PG,30,11,27.2,3.1,7.8,.402,1.9,4.3,.434,1.3,3.5,.362,.521,1.0,1.4,.698,0.4,3.4,3.8,4.3,0.5,0.1,2.2,2.4,9.1,0.0,carrica01
204,Simone Fontecchio,30,MIA,SF,30,1,18.5,2.9,7.5,.385,1.9,5.3,.358,1.0,2.2,.448,.511,1.4,1.7,.804,0.5,2.5,3.0,1.7,0.4,0.2,1.0,1.6,9.1,0.0,fontesi01
205,Svi Mykhailiuk,28,UTA,SF,30,30,24.8,3.4,7.1,.477,1.9,4.7,.401,1.5,2.4,.625,.610,0.4,0.5,.929,0.7,1.9,2.6,2.0,0.6,0.1,0.8,1.3,9.1,0.0,mykhasv01
206,Corey Kispert,26,WAS,SF,18,2,19.5,3.1,6.2,.495,1.6,3.9,.394,1.5,2.2,.675,.622,1.3,1.7,.742,0.3,2.1,2.4,1.8,0.4,0.2,0.6,1.1,8.9,0.0,kispeco01
207,Jarace Walker,22,IND,PF,32,12,24.2,2.9,8.5,.337,1.4,4.6,.306,1.5,3.9,.373,.419,1.8,2.2,.789,0.5,4.1,4.6,1.9,0.5,0.4,1.8,1.7,8.9,0.0,walkeja02
208,Trendon Watford,25,PHI,PF,14,4,20.4,3.4,6.3,.534,0.5,1.3,.389,2.9,5.0,.571,.574,1.7,2.1,.800,1.1,3.6,4.7,3.6,0.4,0.2,1.5,2.7,8.9,0.0,watfotr01
209,Jordan Goodwin,27,PHO,PG,28,2,21.0,3.4,8.3,.407,1.4,4.1,.336,2.0,4.1,.478,.491,0.6,0.8,.773,1.8,2.4,4.2,2.1,1.5,0.2,1.3,1.6,8.7,0.0,goodwjo01
210,Ryan Kalkbrenner,24,CHO,C,26,25,25.6,3.7,4.7,.787,0.0,0.1,.000,3.7,4.6,.800,.787,1.3,1.8,.723,2.6,3.8,6.4,0.6,0.7,1.8,1.2,1.8,8.7,0.0,kalkbry01
211,Jake LaRavia,24,LAL,PF,30,9,25.1,3.2,7.0,.452,0.9,3.0,.315,2.2,4.0,.554,.519,1.5,2.1,.710,1.5,2.7,4.1,2.0,1.2,0.4,1.1,2.3,8.7,0.0,laravja01
212,Jalen Smith,25,CHI,C,26,0,16.8,3.2,6.8,.466,1.3,3.7,.361,1.8,3.0,.595,.565,1.0,1.3,.765,1.9,4.0,5.9,1.3,0.3,0.7,0.9,1.8,8.7,0.0,smithja04
213,Ziaire Williams,24,BRK,SF,25,2,22.2,2.8,7.1,.390,1.5,5.2,.295,1.2,1.9,.646,.497,1.7,2.0,.857,0.6,1.8,2.5,0.7,0.9,0.5,1.1,2.0,8.7,0.0,willizi02
214,Dominick Barlow,22,PHI,PF,20,17,26.5,3.4,6.3,.532,0.4,1.7,.235,3.0,4.6,.641,.563,1.5,1.9,.789,2.2,3.4,5.6,1.9,0.9,0.9,1.1,2.2,8.6,0.0,barlodo01
215,Caleb Love,24,POR,SG,24,0,18.6,3.2,8.9,.357,1.5,5.3,.281,1.7,3.5,.471,.441,0.8,1.0,.783,0.6,1.7,2.3,2.1,0.5,0.1,1.0,1.3,8.6,0.0,loveca01
216,Isaac Okoro,25,CHI,SG,23,23,24.0,3.3,6.7,.490,1.1,2.9,.388,2.2,3.8,.568,.574,0.9,1.2,.714,1.2,1.3,2.5,1.4,0.5,0.5,0.7,2.9,8.6,0.0,okorois01
217,Nick Smith Jr.,21,LAL,SG,13,1,16.4,3.3,7.2,.457,1.6,3.8,.429,1.7,3.5,.489,.569,0.4,0.6,.625,0.2,1.2,1.3,1.3,0.6,0.2,1.0,1.2,8.6,0.0,smithni01
218,Draymond Green,35,GSW,PF,26,26,27.3,3.2,7.6,.416,1.5,4.5,.336,1.7,3.1,.531,.515,0.7,1.2,.613,0.8,5.2,6.0,5.1,0.9,0.8,3.1,3.3,8.5,0.0,greendr01
219,Tolu Smith,25,DET,PF,2,0,11.0,3.0,4.0,.750,0.0,0.0,0.0,3.0,4.0,.750,.750,2.5,3.5,.714,2.0,3.5,5.5,1.0,0.5,0.5,0.5,1.0,8.5,0.0,smithto05
220,Jaden Ivey,23,DET,SG,17,0,15.7,2.9,6.5,.455,1.2,3.1,.396,1.7,3.4,.509,.550,1.2,1.5,.808,0.5,1.6,2.1,1.8,0.6,0.3,0.9,1.6,8.4,0.0,iveyja01
221,Caris LeVert,31,DET,SG,26,0,20.1,2.9,6.7,.437,1.3,3.3,.384,1.7,3.4,.489,.532,1.3,2.0,.667,0.3,1.5,1.8,2.8,0.8,0.6,1.4,1.3,8.4,0.0,leverca01
222,Tre Mann,24,CHO,PG,22,1,19.4,3.2,9.1,.350,1.4,4.7,.301,1.8,4.4,.402,.428,0.6,0.7,.867,0.8,2.0,2.9,2.6,0.6,0.1,1.7,2.0,8.4,0.0,manntr01
223,Jose Alvarado,27,NOP,PG,32,0,22.3,3.0,6.9,.437,1.7,4.4,.376,1.4,2.5,.543,.556,0.6,0.7,.826,0.4,2.3,2.7,3.2,1.0,0.1,1.2,2.1,8.3,0.0,alvarjo01
224,Ron Holland,20,DET,SF,30,5,20.8,3.0,7.3,.416,0.6,2.6,.247,2.4,4.7,.507,.459,1.6,2.0,.800,0.9,2.9,3.8,1.6,1.4,0.2,1.3,2.2,8.3,0.0,hollaro01
225,Jonas Valančiūnas,33,DEN,C,31,0,12.9,3.5,6.0,.578,0.1,0.4,.250,3.4,5.6,.601,.586,1.3,1.7,.755,1.4,3.2,4.5,1.2,0.2,0.5,1.1,2.0,8.3,0.0,valanjo01
226,Bradley Beal,32,LAC,SG,6,6,20.2,3.0,8.0,.375,1.2,3.2,.368,1.8,4.8,.379,.448,1.0,1.3,.750,0.3,0.5,0.8,1.7,0.5,0.0,1.5,2.3,8.2,0.0,bealbr01
227,Kentavious Caldwell-Pope,32,MEM,SG,32,13,21.8,2.8,6.8,.402,1.2,3.4,.355,1.5,3.4,.450,.491,1.4,1.6,.920,0.4,1.9,2.3,3.3,0.8,0.2,1.3,1.0,8.2,0.0,caldwke01
228,Isaiah Collier,21,UTA,PG,23,1,22.3,2.8,5.7,.489,0.4,1.2,.370,2.3,4.5,.519,.527,2.2,3.1,.704,0.2,1.8,2.0,6.3,0.7,0.3,2.4,2.2,8.2,0.0,colliis01
229,Kris Dunn,31,LAC,PG,31,25,27.0,3.2,6.3,.503,1.2,2.9,.396,2.0,3.4,.596,.595,0.7,1.0,.719,0.8,2.1,2.8,3.0,1.5,0.2,1.3,2.4,8.2,0.0,dunnkr01
230,Jay Huff,27,IND,C,32,16,19.8,2.8,6.7,.421,1.3,4.6,.293,1.5,2.1,.701,.521,1.1,1.3,.833,1.1,3.0,4.0,1.3,0.3,2.4,0.8,2.3,8.1,0.0,huffja01
231,Ryan Nembhard,22,DAL,PG,20,14,21.0,3.5,7.3,.483,1.0,2.5,.400,2.5,4.8,.526,.552,0.1,0.2,.667,0.3,1.6,1.8,5.3,0.3,0.0,1.7,1.8,8.1,0.0,nembhry01
232,Will Richard,23,GSW,SG,27,12,19.3,2.8,5.3,.528,1.3,3.3,.393,1.5,2.0,.745,.649,1.1,1.4,.795,1.1,1.8,2.9,1.0,1.0,0.1,0.7,2.1,8.1,0.0,richawi02
233,Bogdan Bogdanović,33,LAC,SG,16,3,22.5,2.8,7.3,.376,1.5,4.5,.333,1.3,2.8,.444,.479,1.0,1.2,.842,0.3,2.6,2.9,2.7,0.5,0.1,1.2,2.5,8.0,0.0,bogdabo01
234,Moussa Diabaté,24,CHO,C,30,4,22.7,3.0,4.8,.628,0.0,0.0,0.0,3.0,4.8,.628,.628,1.9,2.9,.659,3.7,4.4,8.1,1.2,0.8,0.9,0.7,2.5,8.0,0.0,diabamo01
235,Luguentz Dort,26,OKC,SF,23,23,27.7,2.8,7.4,.376,1.8,5.5,.331,1.0,1.9,.512,.500,0.7,0.7,.938,1.0,2.6,3.5,1.1,0.8,0.6,0.7,3.1,8.0,0.0,dortlu01
236,Luke Kornet,30,SAS,C,23,17,24.7,3.0,4.6,.651,0.0,0.0,0.0,3.0,4.6,.651,.651,2.0,2.4,.836,3.0,3.6,6.6,1.9,0.3,1.4,0.6,2.0,8.0,0.0,kornelu01
237,Terance Mann,29,BRK,SG,27,27,26.3,2.9,6.5,.449,0.9,2.7,.338,2.0,3.8,.529,.520,1.3,1.5,.850,1.4,2.1,3.6,3.7,0.7,0.3,1.1,2.7,8.0,0.0,mannte01
238,Nikola Jović,22,MIA,PF,21,1,18.7,2.7,7.0,.384,1.0,3.5,.284,1.7,3.4,.486,.455,1.6,2.1,.750,0.5,3.3,3.9,2.9,0.6,0.3,1.9,2.0,7.9,0.0,jovicni01
239,Tyrese Martin,26,BRK,SG,27,6,20.1,2.9,7.5,.391,1.4,4.3,.325,1.5,3.1,.482,.485,0.6,0.9,.708,1.0,2.1,3.1,2.4,0.7,0.1,1.1,1.0,7.9,0.0,martity01
240,Danny Wolf,21,BRK,PF,15,0,17.9,2.7,7.0,.390,1.2,3.3,.367,1.5,3.7,.411,.476,1.3,1.5,.864,0.9,3.1,3.9,1.7,0.4,0.2,1.5,1.1,7.9,0.0,wolfda01
241,Daniel Gafford,27,DAL,C,22,14,20.7,3.0,4.8,.619,0.0,0.0,0.0,3.0,4.8,.619,.619,1.9,2.4,.788,1.9,4.0,5.8,1.0,0.9,1.4,1.5,2.6,7.8,0.0,gaffoda01
242,Quenton Jackson,27,IND,PG,12,6,17.2,2.4,5.3,.453,0.7,1.8,.364,1.8,3.5,.500,.516,2.3,3.1,.730,0.5,2.0,2.5,2.2,0.6,0.1,1.3,1.8,7.8,0.0,jacksqu01
243,Quinten Post,25,GSW,PF,32,18,18.8,2.9,6.9,.421,1.5,4.4,.331,1.4,2.5,.582,.527,0.5,0.6,.800,1.1,3.3,4.4,1.5,0.6,0.6,0.8,2.0,7.8,0.0,postqu01
244,Cason Wallace,22,OKC,SG,31,26,27.4,3.0,7.2,.414,1.4,4.0,.347,1.6,3.2,.500,.511,0.5,0.6,.800,0.8,2.2,3.0,2.3,2.3,0.2,0.9,2.1,7.8,0.0,wallaca01
245,Jared McCain,21,PHI,SG,21,1,19.8,2.8,7.8,.362,1.2,3.8,.329,1.6,4.0,.393,.442,0.8,0.9,.842,0.1,2.5,2.6,1.9,1.0,0.0,1.0,1.4,7.6,0.0,mccaija01
246,Jamaree Bouyea,26,PHO,PG,15,0,14.6,3.1,5.2,.590,0.9,2.1,.452,2.1,3.1,.681,.679,0.5,0.6,.778,0.4,1.4,1.8,1.6,0.5,0.5,0.3,0.7,7.5,0.0,bouyeja01
247,Buddy Hield,33,GSW,SG,30,3,17.8,2.8,6.6,.417,1.4,4.4,.328,1.3,2.3,.588,.525,0.6,0.6,.944,0.7,1.8,2.5,1.5,0.8,0.1,1.1,1.3,7.5,0.0,hieldbu01
248,Bryce McGowens,23,NOP,SG,21,8,18.4,2.4,5.0,.486,0.8,1.6,.485,1.7,3.4,.486,.562,1.9,2.4,.765,0.3,1.8,2.1,1.4,0.6,0.2,0.4,1.7,7.5,0.0,mcgowbr01
249,De'Anthony Melton,27,GSW,PG,8,0,18.5,2.3,7.8,.290,0.6,3.9,.161,1.6,3.9,.419,.331,2.4,3.0,.792,0.3,1.0,1.3,2.1,1.6,0.6,1.3,2.3,7.5,0.0,meltode01
250,Precious Achiuwa,26,SAC,C,25,12,20.0,3.1,6.0,.510,0.3,1.0,.292,2.8,5.1,.551,.533,1.0,2.0,.471,2.0,3.5,5.5,1.1,0.8,0.4,0.4,1.6,7.4,0.0,achiupr01
251,Vince Williams Jr.,25,MEM,PG,22,11,21.9,2.5,7.5,.337,1.2,4.3,.277,1.4,3.3,.417,.416,1.1,1.4,.800,0.8,3.4,4.2,4.9,0.8,0.5,2.1,2.1,7.4,0.0,willivi01
252,Andre Drummond,32,PHI,C,29,14,21.1,2.9,5.6,.519,0.5,1.3,.395,2.4,4.3,.556,.565,1.0,1.6,.630,3.6,5.8,9.3,0.9,0.6,0.9,0.9,2.1,7.3,0.0,drumman01
253,Sam Hauser,28,BOS,PF,31,5,21.6,2.5,6.6,.371,2.2,5.8,.376,0.3,0.8,.333,.537,0.2,0.2,.833,0.7,2.8,3.5,1.3,0.5,0.3,0.6,1.2,7.3,0.0,hausesa01
254,Aaron Holiday,29,HOU,PG,23,0,15.3,2.3,5.4,.432,1.6,3.7,.429,0.8,1.8,.439,.576,1.1,1.3,.862,0.1,0.9,1.0,1.0,0.3,0.1,0.9,1.4,7.3,0.0,holidaa01
255,Isaiah Jackson,24,IND,C,29,14,18.3,2.9,4.9,.585,0.0,0.0,0.0,2.9,4.9,.585,.585,1.6,2.1,.742,2.5,3.4,5.9,0.8,0.7,0.8,1.1,3.0,7.3,0.0,jacksis01
256,Kevin Love,37,UTA,PF,19,1,16.7,2.3,5.6,.415,1.5,4.2,.367,0.8,1.4,.556,.552,1.1,1.4,.778,1.6,3.5,5.1,1.8,0.4,0.4,0.7,2.1,7.3,0.0,loveke01
257,Bruce Brown,29,DEN,SG,31,1,24.6,2.8,6.1,.463,0.5,1.5,.333,2.3,4.6,.507,.505,1.0,1.3,.800,1.1,3.0,4.2,2.1,1.0,0.3,1.0,2.4,7.2,0.0,brownbr01
258,Ryan Dunn,23,PHO,SF,25,11,22.7,2.9,6.5,.451,0.8,2.6,.292,2.2,3.9,.557,.509,0.6,0.8,.700,1.8,3.2,5.0,1.9,1.3,0.6,1.2,2.7,7.2,0.0,dunnry01
259,Daniss Jenkins,24,DET,PG,26,6,15.6,2.7,6.3,.424,0.8,2.3,.350,1.9,4.0,.467,.488,1.0,1.3,.771,0.6,1.1,1.7,2.8,0.9,0.0,1.3,1.3,7.2,0.0,jenkida01
260,Day'Ron Sharpe,24,BRK,C,28,0,16.4,2.7,4.4,.615,0.2,0.8,.286,2.5,3.6,.683,.639,1.6,2.5,.652,2.0,3.5,5.6,2.3,0.9,0.5,1.6,2.2,7.2,0.0,sharpda01
261,Brook Lopez,37,LAC,C,24,3,16.8,2.4,5.8,.417,1.6,4.0,.402,0.8,1.8,.452,.558,0.6,0.8,.789,0.4,2.2,2.5,0.8,0.3,1.0,0.9,1.8,7.1,0.0,lopezbr01
262,Tidjane Salaün,20,CHO,PF,18,0,16.2,2.5,4.9,.511,1.2,2.6,.457,1.3,2.3,.571,.631,0.9,1.3,.696,0.7,3.2,3.9,0.9,0.5,0.3,0.6,1.6,7.1,0.0,salauti01
263,Seth Curry,35,GSW,SG,2,0,16.0,3.0,4.5,.667,1.0,2.0,.500,2.0,2.5,.800,.778,0.0,0.0,0.0,0.5,1.5,2.0,1.5,1.0,0.0,0.0,1.5,7.0,0.0,curryse01
