Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
61,CJ McCollum,34,WAS,SG,30,30,31.0,6.7,15.2,.441,2.8,7.2,.387,3.9,8.0,.490,.533,2.4,3.0,.802,0.6,2.8,3.4,3.6,0.7,0.2,1.6,2.2,18.6,0.0,mccolcj01
62,Jaren Jackson Jr.,26,MEM,C,30,30,29.9,6.8,14.3,.476,1.7,4.6,.360,5.1,9.7,.531,.534,3.2,4.2,.762,0.9,4.6,5.5,2.0,0.9,1.5,2.1,3.9,18.5,0.0,jacksja02
63,Bennedict Mathurin,23,IND,SF,21,21,32.8,5.9,13.8,.428,2.3,6.3,.364,3.6,7.5,.481,.510,4.4,5.1,.860,0.9,4.8,5.7,2.0,0.8,0.2,2.4,2.9,18.5,0.0,mathube01
64,Chet Holmgren,23,OKC,PF,27,27,28.7,6.9,12.1,.571,1.4,3.7,.390,5.4,8.4,.650,.630,3.1,3.9,.790,1.4,6.4,7.9,1.6,0.5,1.5,1.9,3.0,18.3,0.0,holmgch01
65,Evan Mobley,24,CLE,PF,27,25,33.3,6.8,13.7,.495,1.4,4.1,.342,5.4,9.6,.560,.546,3.4,5.2,.645,2.5,6.6,9.1,4.0,0.9,1.6,2.3,2.4,18.3,0.0,mobleev01
66,Jalen Duren,22,DET,C,29,29,28.8,7.0,11.1,.636,0.0,0.0,0.0,7.0,11.1,.636,.636,4.2,5.7,.729,4.3,6.6,10.9,1.8,0.8,1.0,2.2,3.2,18.2,0.0,durenja01
67,Alex Sarr,20,WAS,C,21,21,28.6,7.5,14.8,.510,1.1,3.2,.353,6.4,11.5,.554,.548,2.0,3.1,.652,2.5,5.8,8.3,2.9,0.8,2.2,1.7,2.0,18.2,0.0,sarral01
68,Derrick White,31,BOS,SG,30,30,33.5,6.2,15.8,.395,3.3,9.4,.351,2.9,6.4,.461,.500,2.4,2.8,.855,0.7,3.5,4.2,5.1,1.4,1.3,1.9,1.8,18.1,0.0,whitede01
69,Bam Adebayo,28,MIA,C,24,24,31.4,6.5,14.0,.466,1.4,4.4,.314,5.1,9.6,.535,.515,3.6,4.8,.754,1.5,8.0,9.5,2.4,1.0,0.9,1.9,1.7,18.0,0.0,adebaba01
70,Brandon Miller,23,CHO,SF,15,15,29.4,6.3,16.1,.388,2.5,7.5,.336,3.7,8.6,.434,.467,2.9,3.4,.843,1.0,2.7,3.7,3.3,0.9,1.2,2.5,2.7,17.9,0.0,millebr02
71,Ja Morant,26,MEM,PG,16,16,27.8,5.9,15.9,.374,1.0,4.5,.222,4.9,11.4,.434,.406,5.0,5.4,.920,0.4,2.9,3.3,7.6,0.9,0.2,3.6,2.1,17.9,0.0,moranja01
72,Amen Thompson,23,HOU,PG,29,29,36.7,7.1,13.9,.507,0.4,2.0,.186,6.7,11.9,.562,.521,3.2,4.1,.782,2.7,4.6,7.3,5.3,1.3,0.5,2.6,2.4,17.7,0.0,thompam01
73,Andrew Nembhard,26,IND,PG,24,24,31.6,5.9,13.9,.425,1.8,5.1,.352,4.1,8.8,.467,.490,3.7,4.4,.840,0.4,2.0,2.4,6.9,0.8,0.1,2.4,2.4,17.3,0.0,nembhan01
74,Jalen Williams,24,OKC,SG,13,13,29.8,6.6,14.7,.450,1.0,2.9,.342,5.6,11.8,.477,.484,3.1,3.6,.851,0.8,4.1,4.9,5.4,1.6,0.5,1.8,2.2,17.3,0.0,willija06
75,Ryan Rollins,23,MIL,PG,32,27,31.2,6.7,13.9,.480,2.3,5.8,.398,4.3,8.1,.539,.563,1.6,2.1,.746,0.8,3.4,4.2,5.8,1.6,0.4,2.4,2.8,17.2,0.0,rolliry01
76,Domantas Sabonis,29,SAC,C,11,11,33.2,6.7,13.2,.510,0.4,1.8,.200,6.4,11.4,.560,.524,3.4,4.6,.725,3.4,8.9,12.3,3.7,1.2,0.2,2.5,4.0,17.2,0.0,sabondo01
77,Darius Garland,26,CLE,PG,17,17,30.2,5.8,14.2,.409,2.4,6.5,.373,3.4,7.8,.439,.494,2.9,3.4,.877,0.6,2.0,2.6,6.7,0.7,0.1,2.9,1.8,17.0,0.0,garlada01
78,Payton Pritchard,28,BOS,PG,31,31,32.7,6.2,14.0,.441,2.7,8.0,.336,3.5,6.1,.580,.537,1.8,2.2,.851,1.1,3.4,4.5,5.2,0.8,0.1,1.3,1.6,16.9,0.0,pritcpa01
79,Kelly Oubre Jr.,30,PHI,SF,12,12,34.8,6.2,12.4,.497,1.9,5.6,.343,4.3,6.8,.622,.574,2.5,3.2,.789,1.2,3.9,5.1,1.3,1.1,0.8,1.5,2.7,16.8,0.0,oubreke01
80,Mikal Bridges,29,NYK,SF,31,31,35.3,6.7,12.8,.523,2.4,5.6,.420,4.3,7.2,.604,.615,1.0,1.3,.775,1.1,3.4,4.5,4.2,1.6,0.9,1.1,2.1,16.7,0.0,bridgmi01
81,Jrue Holiday,35,POR,PG,12,12,33.4,6.2,13.8,.446,2.6,7.1,.365,3.6,6.8,.531,.539,1.8,2.1,.840,1.3,3.9,5.3,8.3,1.6,0.3,2.9,2.0,16.7,0.0,holidjr01
82,Immanuel Quickley,26,TOR,PG,32,32,32.4,5.8,13.0,.443,2.5,6.8,.369,3.3,6.2,.525,.540,2.5,3.0,.814,0.5,3.8,4.3,6.4,1.2,0.1,1.8,2.1,16.5,0.0,quickim01
83,Andrew Wiggins,30,MIA,SF,28,28,32.5,6.5,13.4,.483,1.8,4.6,.398,4.6,8.8,.526,.551,1.6,2.3,.714,1.8,3.1,4.9,2.9,1.1,1.1,1.7,2.3,16.4,0.0,wiggian01
84,Grayson Allen,30,PHO,SG,18,18,31.1,5.6,12.9,.431,3.2,8.2,.392,2.3,4.7,.500,.556,2.0,2.5,.800,0.5,2.2,2.7,4.1,1.7,0.2,1.7,2.4,16.3,0.0,allengr01
85,Jaime Jaquez Jr.,24,MIA,SF,31,1,29.7,6.5,12.6,.521,0.5,1.7,.264,6.1,10.9,.561,.538,2.7,3.5,.773,1.3,4.2,5.5,4.6,0.8,0.2,2.3,2.1,16.3,0.0,jaqueja01
